Zapato,40,1923222,10,47.0
Zapato,38,1923223,4,48.0
Zapato,42,1923224,6,46.0
Zapato,41,1923225,11,45.5
Zapato,39,1923226,9,49.0
Zapato,37,1923227,14,52.0
Zapato,43,1923228,7,47.5
Zapato,40,1923229,12,46.5
Zapato,38,1923230,10,48.5
Zapato,42,1923231,5,46.5
Sueter,S,1923217,8,62.0
Sueter,M,1923218,10,60.0
Sueter,L,1923219,15,65.0
Sueter,XL,1923220,7,63.0
Sueter,S,1923221,11,61.5
Sueter,M,1923222,9,60.5
Sueter,L,1923223,12,64.0
Sueter,XL,1923224,6,62.5
Sueter,S,1923225,14,61.0
Sueter,M,1923226,10,59.5
